dep_name|owner_name|owner_surname|date_owned|is_efficient|serial_number|issue_date|issue_desc|repair_fee|mnf_name|class_|class_sm|activity|machine_desc
Research and Development|Jasper|Humphrey|2003-09-01|0|EM80R6V78M20QT9682LA6PF6|2016-10-11 07:07:28|Aliquam vulputate ullamcorper magna. Sed eu|16|Borland|22|R|08:58:51|Donec vitae erat vel
Sales and Marketing|Autumn|Clark|2002-07-01|1|LY97S5O39F46XD0553LJ5BU0|2016-10-12 14:53:05|eu enim. Etiam imperdiet dictum|96|Microsoft|155|E|21:25:50|lectus rutrum urna,
Legal Department|Gemma|Eaton|2004-12-24|0|UK71F2B60Z21OS5273FG5TU5|2016-10-15 09:59:10|dictum augue malesuada malesuada. Integer id|23|Lavasoft|212|W|17:22:55|ut lacus. Nulla tincidunt, neque
Accounting|Kevin|Roberts|2007-01-09|0|EM15G2F18X96TJ2195VV1CL4|2016-10-16 19:17:56|ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci|45|Sibelius|203|W|01:15:17|enim. Sed
Sales and Marketing|Honorato|Sellers|2008-01-12|1|SY41Q2W51K30QW2054DZ5GO0|2016-10-02 21:49:18|quam quis diam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames|134|Lycos|163|D|21:12:03|nostra, per inceptos
Public Relations|Chantale|Mason|2004-09-23|0|TT07C3B31N93BG3868EC2ZV3|2016-10-15 18:20:28|Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam|63|Altavista|158|D|15:35:41|lorem fringilla ornare placerat, orci
Payroll|Abraham|Rodriquez|2003-02-03|0|ZB80D6N28E89DN3303MS3VJ2|2016-10-20 01:15:56|tempor erat neque non quam. Pellentesque habitant morbi tristique|75|Cakewalk|140|O|01:49:20|fringilla ornare placerat, orci lacus
Public Relations|Jenna|Thornton|2009-01-12|1|ET37Q7W05W50UF1022QU0OD2|2016-10-12 11:54:32|et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,|49|Microsoft|33|D|12:33:54|ante. Maecenas mi felis, adipiscing
Asset Management|Desiree|Buck|2005-06-18|0|PU22E8R43P55PM9745DC0OG6|2016-10-09 22:18:41|dolor vitae dolor. Donec fringilla.|44|Adobe|131|I|06:16:16|Donec feugiat metus sit
Research and Development|Constance|Bullock|2000-03-27|1|WC67I0K27M71BW9671SS5WH1|2016-10-14 09:06:30|Donec est mauris, rhoncus id, mollis nec, cursus a, enim. Suspendisse|134|Finale|205|K|10:57:37|tincidunt nibh. Phasellus nulla. Integer
Asset Management|Kimberley|Kerr|2007-01-22|1|WS78Q1X98T72RR5515OJ2DK2|2016-10-19 12:13:07|est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus.|58|Google|19|A|09:40:14|Proin
Research and Development|Ignatius|Knowles|2013-10-22|1|PC54N8P80N90SS7496QW8CW4|2016-10-06 04:24:29|id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis|32|Lycos|99|D|10:23:41|non arcu.
Research and Development|Acton|Leblanc|2015-04-18|1|XH73O0R42A84KX2540IO7XV3|2016-10-13 11:19:30|commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem,|105|Finale|235|J|16:15:17|nec ligula consectetuer
Customer Relations|Brody|Sparks|2007-05-14|1|DR38W4Q70R64DA7894QF6FJ7|2016-10-19 07:15:22|malesuada augue ut|114|Lavasoft|218|Q|10:33:49|velit
